RECIPE_ID,TITLE,AGGREGATE_LIKES,SOURCE_URL,READY_IN_MINUTES,SERVINGS,IMAGE_TYPE,IMAGE,SOURCE_NAME,VERY_POPULAR
759337,Spaghetti Squash with Orange Gremolata,91,http://www.vegetariantimes.com/recipe/spaghetti-squash-with-orange-gremolata/,45,4,jpg,https://spoonacular.com/recipeImages/spaghetti-squash-with-orange-gremolata-759337.jpg,Vegetarian Times,FALSE
532961,Turkey Pot Pies,349,http://www.lifeasastrawberry.com/turkey-pot-pies/,45,4,jpg,https://spoonacular.com/recipeImages/Turkey-Pot-Pies-532961.jpg,Life as a Strawberry,FALSE
740198,Dallas Burger,1352,http://www.foodnetwork.com/recipes/bobby-flay/dallas-burger-recipe.html,37,4,jpeg,https://spoonacular.com/recipeImages/dallas-burger-740198.jpeg,Foodnetwork,TRUE
252857,Mushroom  Goat Cheese & Mint Hand Pies,21,http://www.sippitysup.com/recipe/mushroom-goat-cheese-mint-hand-pies/,60,8,jpg,https://spoonacular.com/recipeImages/Mushroom--Goat-Cheese---Mint-Hand-Pies-252857.jpg,SippitySup,FALSE
246904,Kung Pao Chicken,197,http://www.simplyrecipes.com/recipes/kung_pao_chicken/,45,4,jpg,https://spoonacular.com/recipeImages/Kung-Pao-Chicken-246904.jpg,Simply Recipes,FALSE
226928,Sudado de Costillas de Res (Colombian Beef Short Ribs Stew),221,http://www.mycolombianrecipes.com/sudado-de-costillas-de-res-colombian-beef-short-ribs-stew,45,6,jpg,https://spoonacular.com/recipeImages/Sudado-de-Costillas-de-Res-(Colombian-Beef-Short-Ribs-Stew)-226928.jpg,My Colombian Recipes,FALSE
448603,Orange Cream Chiffon Cake,322,http://www.tasteofhome.com/recipes/orange-cream-chiffon-cake,100,12,jpg,https://spoonacular.com/recipeImages/Orange-Cream-Chiffon-Cake-448603.jpg,Taste of Home,FALSE
65673,Rhubarb Streusel Muffins,1386,http://smittenkitchen.com/2011/05/rhubarb-streusel-muffins/,20,3,jpg,https://spoonacular.com/recipeImages/rhubarb_streusel_muffins-65673.jpg,Smitten Kitchen,TRUE
575569,Dark Chocolate Java Cups,580,http://www.multiplydelicious.com/thefood/2013/10/dark-chocolate-java-cups/,45,12,jpg,https://spoonacular.com/recipeImages/Dark-Chocolate-Java-Cups-575569.jpg,Multiply Delicious ,TRUE
549417,Fajita Burgers,15,http://www.ohsweetbasil.com/2012/08/fajita-burgers.html,40,3,jpg,https://spoonacular.com/recipeImages/Fajita-Burgers-549417.jpg,Oh Sweet Basil,FALSE
596102,Pumpkin Butterscotch Blondies,181,http://www.cooklikeachampionblog.com/2012/10/pumpkin-butterscotch-blondies/,35,24,jpg,https://spoonacular.com/recipeImages/Pumpkin-Butterscotch-Blondies-596102.jpg,Cook Like a Champion Blog,FALSE
