CUISINE_TYPE,RECIPE_ID
nordic,471525
american,518943
mexican,414269
southern,141957
mediterranean,597555
european,597555
french,597555
mexican,465435
american,446959
cajun,596832
creol,596832
asian,510496
indian,510496
greek,480711
mediterranean,480711
european,480711
mediterranean,475708
european,475708
italian,475708
european,559118
english,559118
british,559118
scottish,559118
mediterranean,603751
european,603751
italian,603751
american,752297
greek,195777
mediterranean,195777
european,195777
mexican,625713
asian,196030
vietnames,196030
mediterranean,742498
european,742498
italian,742498
european,213391
english,213391
british,213391
scottish,213391
american,474772
cajun,65004
creol,65004
american,494171
asian,720455
indian,720455
mexican,203441
southern,462701
mexican,54439
american,474200
american,695747
southern,607116
german,694651
european,694651
mexican,317314
american,517998
european,54864
irish,54864
american,526660
chines,227294
asian,227294
mediterranean,545298
european,545298
french,545298
mexican,631236
mexican,615185
mediterranean,551412
european,551412
italian,551412
german,464894
european,464894
south american,532391
latin american,532391
american,616644
mexican,290029
american,541660
mediterranean,604444
european,604444
italian,604444
mediterranean,44400
european,44400
italian,44400
mediterranean,794358
european,794358
italian,794358
cajun,527491
creol,527491
mediterranean,540406
european,540406
italian,540406
american,629194
mexican,539541
mediterranean,595696
european,595696
italian,595696
mediterranean,606944
european,606944
italian,606944
mexican,628817
cajun,474050
creol,474050
chines,212908
asian,212908
mexican,612105
asian,524276
indian,524276
greek,312124
mediterranean,312124
european,312124
southern,520526
american,515937
mexican,684875
mediterranean,532940
european,532940
italian,532940
southern,198769
american,547376
american,579771
mediterranean,691423
european,691423
italian,691423
mediterranean,608475
european,608475
italian,608475
american,245861
middl eastern,827022
southern,549868
southern,244938
american,478211
south american,589250
latin american,589250
american,541611
mexican,560716
american,54579
american,63413
european,477247
eastern european,477247
american,673911
asian,618013
vietnames,618013
mexican,622614
mediterranean,615177
european,615177
italian,615177
german,489225
european,489225
mediterranean,76925
european,76925
italian,76925
mediterranean,78727
european,78727
french,78727
mediterranean,683317
european,683317
italian,683317
mediterranean,473917
european,473917
italian,473917
mexican,538976
mediterranean,179667
european,179667
italian,179667
european,46821
english,46821
british,46821
scottish,46821
american,63643
european,482745
english,482745
british,482745
scottish,482745
mexican,571730
american,810012
mediterranean,351753
european,351753
italian,351753
southern,491972
spanish,598874
european,598874
asian,480005
vietnames,480005
greek,670672
mediterranean,670672
european,670672
mexican,278725
mediterranean,623711
european,623711
italian,623711
asian,685983
indian,685983
american,379514
asian,204746
indian,204746
mediterranean,590876
european,590876
italian,590876
asian,574097
indian,574097
mexican,531093
southern,606910
asian,591189
indian,591189
mediterranean,568058
european,568058
italian,568058
mediterranean,576177
european,576177
italian,576177
mediterranean,510423
european,510423
italian,510423
european,759618
irish,759618
american,813245
mexican,611964
american,64104
southern,185078
southern,476774
mexican,479970
mediterranean,246620
european,246620
french,246620
mediterranean,597481
european,597481
italian,597481
asian,196517
indian,196517
american,520107
mediterranean,569792
european,569792
